,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"dz[0,17]",1.0104,0.389,0.3865,1.67,0.0047,0.0034,6950.9552,6224.812,1.0005
"dz[0,18]",0.6292,0.3565,0.0253,1.1897,0.0047,0.0034,5870.0323,5716.9286,1.0005
"dz[0,19]",1.4158,0.4148,0.7415,2.0902,0.0051,0.0037,6647.5764,5777.4591,1.0003
"dz[0,20]",0.4981,0.349,-0.0778,1.0496,0.0045,0.0033,6180.3023,5630.025,1.0003
"dz[0,21]",1.176,0.4101,0.5337,1.8708,0.0051,0.0038,6452.8451,5509.3618,1.0014
"dz[0,22]",0.6337,0.362,0.0139,1.1964,0.0045,0.0033,6562.3579,6089.3566,1.0007
"dz[0,23]",1.0126,0.3796,0.3871,1.6273,0.0049,0.0036,6059.6744,5908.8054,1.0009
"dz[0,24]",1.2093,0.3994,0.5086,1.8251,0.0048,0.0035,7095.328,5930.2895,0.9997
"dz[0,25]",0.9615,0.3863,0.3057,1.5832,0.0049,0.0035,6153.9071,6243.8484,1.0004
"dz[0,26]",0.442,0.3494,-0.1395,1.0004,0.0042,0.0031,7044.8472,6053.3072,1.0003
"dz[0,27]",0.8669,0.3866,0.2359,1.5113,0.0051,0.0036,5804.7036,5603.7223,1.0002
"dz[0,28]",0.9625,0.3861,0.2967,1.5613,0.0051,0.0038,5771.4346,5071.9038,1.0006
"dz[0,29]",1.1818,0.4022,0.5299,1.8459,0.0048,0.0036,6994.0427,5768.3048,1.0003
"dz[0,30]",0.5449,0.3599,-0.0447,1.1393,0.0047,0.0034,5804.4623,5460.5293,1.0002
"dz[0,31]",0.8627,0.3871,0.2566,1.5324,0.0047,0.0034,6938.5436,5947.9719,1.0008
"dz[0,32]",1.0139,0.3838,0.3778,1.6388,0.0046,0.0034,7007.2721,5912.7737,1.0005
"dz[0,33]",1.0116,0.3929,0.3664,1.6415,0.0049,0.0036,6461.0719,5811.1397,1.0004
"dz[0,34]",1.3613,0.424,0.6693,2.0424,0.0053,0.0038,6559.5272,5764.6738,1.0002
"dz[0,35]",0.9588,0.3873,0.3584,1.6308,0.005,0.0036,6051.9909,5537.7779,0.9998
"dz[0,36]",0.743,0.3751,0.0958,1.3208,0.0048,0.0036,6111.2035,5180.3072,1.0006
"dz[0,37]",0.8717,0.3781,0.2455,1.4744,0.0044,0.0033,7300.361,6228.2714,1.0
"dz[0,38]",1.0953,0.3943,0.4539,1.7393,0.005,0.0036,6206.3295,5813.659,1.0003
"dz[0,39]",0.8685,0.3826,0.2312,1.4925,0.0047,0.0035,6590.644,5409.5103,1.0001
"dz[0,40]",0.9586,0.3777,0.3476,1.569,0.0047,0.0034,6318.1515,6190.0917,1.0004
"dz[0,41]",1.5168,0.4341,0.7701,2.1951,0.0054,0.0039,6429.3041,5974.8237,1.0007
"dz[0,42]",1.5264,0.4203,0.8392,2.215,0.0054,0.0039,6191.6773,5653.2248,1.0002
"dz[0,43]",0.835,0.3751,0.2224,1.4421,0.0049,0.0035,5924.2594,5681.8334,1.0017
"dz[0,44]",1.2595,0.4058,0.5876,1.9073,0.0053,0.004,5902.3901,5197.0595,1.0012
